x,y
154,208
153,207
153,206
152,205
152,204
150,202
150,201
149,200
149,199
147,197
147,196
146,195
146,194
145,193
145,192
143,190
143,189
142,188
142,187
141,186
141,184
140,183
140,182
141,181
141,180
142,179
142,178
144,176
144,175
145,174
145,173
146,172
146,171
148,169
148,168
149,167
149,166
150,165
150,164
152,162
152,161
153,160
153,159
155,157
155,156
156,155
156,154
157,153
157,152
158,151
159,151
160,152
159,153
159,155
157,157
157,158
156,159
156,160
154,162
154,163
152,165
152,166
151,167
151,168
150,169
150,170
148,172
148,173
147,174
147,176
145,178
145,179
143,181
143,184
144,185
144,186
145,187
145,188
146,189
146,190
147,191
147,192
148,193
148,194
150,196
150,197
151,198
151,199
153,201
153,202
154,203
154,204
155,205
155,206
156,207
156,208
158,210
158,211
159,212
159,213
161,215
161,216
162,217
162,218
163,219
163,220
165,222
171,222
173,224
173,225
175,227
175,228
176,229
176,231
178,233
214,233
215,234
220,234
222,232
222,231
224,229
224,228
225,227
225,226
228,223
235,223
235,222
237,220
237,219
238,218
238,217
240,215
240,214
241,213
241,212
243,210
243,209
244,208
244,207
246,205
246,204
247,203
247,202
249,200
249,199
250,198
250,197
251,196
251,194
250,193
250,192
249,191
249,190
247,188
247,186
246,185
246,184
247,183
247,182
248,181
248,180
250,178
250,177
251,176
251,172
250,171
250,170
248,168
248,167
247,166
247,165
246,164
246,163
244,161
244,160
243,159
243,158
242,157
242,156
240,154
240,153
239,152
239,151
238,150
238,149
236,147
236,146
230,146
226,142
226,141
225,140
225,139
224,138
224,137
222,135
x,y
206,133
207,132
222,132
223,133
221,135
207,135
206,134
